observation --- [591, 537, 737, 583, 822, 245, 319, 868] info --- {'sequence': ['N137', 'N215', 'N333', 'E103', 'E48', 'E230', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 180.69190979003906 logZ --- 1.0701961517333984
observation --- [854, 9, 55, 405, 494, 79, 612, 868] info --- {'sequence': ['N60', 'N238', 'N81', 'E119', 'E165', 'E223', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 167.35935974121094 logZ --- 1.0701961517333984
observation --- [294, 222, 419, 506, 847, 225, 477, 868] info --- {'sequence': ['N315', 'N385', 'N225', 'E127', 'E221', 'E78', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.180541831975683 loss --- 1077.7301025390625 logZ --- 1.0701961517333984
observation --- [695, 370, 21, 47, 168, 195, 548, 868] info --- {'sequence': ['N196', 'N256', 'N411', 'E8', 'E159', 'E81', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0370296320647223 loss --- 1086.6749267578125 logZ --- 1.0701961517333984
observation --- [122, 645, 84, 506, 467, 624, 561, 868] info --- {'sequence': ['N245', 'N115', 'N410', 'E127', 'E10', 'E199', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3964172826215664 loss --- 1093.4652099609375 logZ --- 1.0751935243606567
observation --- [21, 598, 485, 14, 23, 460, 246, 868] info --- {'sequence': ['N411', 'N312', 'N79', 'E171', 'E136', 'E192', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.000788724970994 loss --- 1068.73681640625 logZ --- 1.0751935243606567
observation --- [657, 365, 826, 70, 188, 135, 17, 868] info --- {'sequence': ['N484', 'N184', 'N606', 'E92', 'E35', 'E194', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3624441977123367 loss --- 1106.240478515625 logZ --- 1.0751935243606567
observation --- [482, 28, 519, 166, 245, 624, 335, 868] info --- {'sequence': ['N499', 'N39', 'N456', 'E14', 'E230', 'E199', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.425899102154439 loss --- 1066.5001220703125 logZ --- 1.0751935243606567
observation --- [65, 113, 154, 135, 508, 615, 414, 868] info --- {'sequence': ['N186', 'N515', 'N488', 'E194', 'E155', 'E141', 'E188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1052129615864734 loss --- 1060.874267578125 logZ --- 1.0751935243606567
observation --- [519, 288, 792, 484, 465, 315, 17, 868] info --- {'sequence': ['N456', 'N700', 'N277', 'E109', 'E45', 'E99', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 187.86900329589844 logZ --- 1.0802119970321655
observation --- [422, 54, 200, 610, 788, 643, 847, 868] info --- {'sequence': ['N579', 'N93', 'N621', 'E24', 'E167', 'E107', 'E221', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1690066965411778 loss --- 1107.8092041015625 logZ --- 1.0802119970321655
observation --- [853, 806, 294, 779, 243, 470, 803, 868] info --- {'sequence': ['N298', 'N156', 'N315', 'E51', 'E15', 'E205', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.034429218147397 loss --- 1029.7794189453125 logZ --- 1.0802119970321655
observation --- [357, 653, 597, 293, 815, 673, 788, 868] info --- {'sequence': ['N495', 'N600', 'N440', 'E9', 'E156', 'E16', 'E167', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 172.96267700195312 logZ --- 1.0802119970321655
observation --- [597, 85, 843, 17, 73, 643, 758, 868] info --- {'sequence': ['N440', 'N218', 'N320', 'E219', 'E94', 'E107', 'E80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0626886549302486 loss --- 1118.3817138671875 logZ --- 1.0802119970321655
observation --- [570, 222, 219, 508, 784, 443, 11, 868] info --- {'sequence': ['N516', 'N385', 'N611', 'E155', 'E87', 'E47', 'E25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2346280660594442 loss --- 1097.9696044921875 logZ --- 1.0851672887802124
observation --- [853, 85, 657, 110, 522, 811, 837, 868] info --- {'sequence': ['N298', 'N218', 'N484', 'E202', 'E183', 'E90', 'E139', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1866150091538339 loss --- 1123.6239013671875 logZ --- 1.0851672887802124
observation --- [681, 756, 419, 862, 748, 366, 673, 868] info --- {'sequence': ['N353', 'N627', 'N225', 'E18', 'E22', 'E170', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1308209143177876 loss --- 1095.3687744140625 logZ --- 1.0851672887802124
observation --- [540, 659, 357, 550, 484, 328, 391, 868] info --- {'sequence': ['N695', 'N313', 'N495', 'E108', 'E109', 'E102', 'E220', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 168.44821166992188 logZ --- 1.0851672887802124
