observation --- [601, 365, 261, 116, 671, 868] info --- {'sequence': ['N128', 'N184', 'N618', 'E163', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.073959167593682 loss --- 547.7639770507812 logZ --- 1.0634949207305908
observation --- [501, 718, 767, 662, 345, 868] info --- {'sequence': ['N91', 'N388', 'N259', 'E13', 'E58', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0242141712542414 loss --- 529.0523071289062 logZ --- 1.0634949207305908
observation --- [601, 222, 82, 589, 201, 868] info --- {'sequence': ['N128', 'N385', 'N718', 'E121', 'E19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0725227811149576 loss --- 517.9122314453125 logZ --- 1.0634949207305908
observation --- [665, 57, 576, 819, 79, 868] info --- {'sequence': ['N342', 'N34', 'N455', 'E137', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.189520944016949 loss --- 532.6937866210938 logZ --- 1.0682573318481445
observation --- [151, 9, 493, 430, 615, 868] info --- {'sequence': ['N575', 'N238', 'N557', 'E111', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3606420396992627 loss --- 583.2428588867188 logZ --- 1.0682573318481445
observation --- [248, 9, 247, 550, 858, 868] info --- {'sequence': ['N174', 'N238', 'N524', 'E108', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.909248352050781 logZ --- 1.0682573318481445
observation --- [145, 617, 145, 167, 694, 868] info --- {'sequence': ['N263', 'N346', 'N263', 'E193', 'E206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0678658553997287 loss --- 556.7530517578125 logZ --- 1.0682573318481445
observation --- [373, 387, 46, 403, 803, 868] info --- {'sequence': ['N538', 'N113', 'N470', 'E116', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.442652702331543 logZ --- 1.0682573318481445
observation --- [789, 34, 407, 687, 654, 868] info --- {'sequence': ['N549', 'N57', 'N255', 'E120', 'E145', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.180752545298827 loss --- 543.1483764648438 logZ --- 1.0730639696121216
observation --- [697, 44, 757, 788, 335, 868] info --- {'sequence': ['N623', 'N719', 'N464', 'E167', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0717201929565552 loss --- 521.961181640625 logZ --- 1.0730639696121216
observation --- [852, 102, 712, 115, 292, 868] info --- {'sequence': ['N210', 'N395', 'N665', 'E33', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 13.836819648742676 logZ --- 1.0730639696121216
observation --- [114, 386, 101, 452, 671, 868] info --- {'sequence': ['N355', 'N514', 'N303', 'E67', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.910977363586426 logZ --- 1.0730639696121216
observation --- [712, 806, 734, 27, 522, 868] info --- {'sequence': ['N665', 'N156', 'N448', 'E73', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 13.695892333984375 logZ --- 1.0730639696121216
observation --- [642, 288, 690, 534, 805, 868] info --- {'sequence': ['N27', 'N700', 'N62', 'E126', 'E150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.009539831390343 loss --- 538.1075439453125 logZ --- 1.0778155326843262
observation --- [114, 85, 493, 11, 606, 868] info --- {'sequence': ['N355', 'N218', 'N557', 'E25', 'E110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0466960171555775 loss --- 550.8237915039062 logZ --- 1.0778155326843262
observation --- [150, 710, 261, 462, 662, 868] info --- {'sequence': ['N302', 'N404', 'N618', 'E31', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 15.836904525756836 logZ --- 1.0778155326843262
observation --- [172, 272, 729, 633, 663, 868] info --- {'sequence': ['N409', 'N393', 'N12', 'E198', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0986261388822671 loss --- 537.4198608398438 logZ --- 1.0778155326843262
observation --- [407, 699, 690, 610, 208, 868] info --- {'sequence': ['N255', 'N219', 'N62', 'E24', 'E158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3248624439760563 loss --- 550.4310913085938 logZ --- 1.0778155326843262
observation --- [211, 569, 375, 168, 759, 868] info --- {'sequence': ['N500', 'N434', 'N288', 'E159', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.180364608764648 logZ --- 1.0826870203018188
observation --- [30, 220, 705, 457, 170, 868] info --- {'sequence': ['N29', 'N164', 'N539', 'E130', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.324684143066406 logZ --- 1.0826870203018188
observation --- [852, 387, 186, 862, 748, 868] info --- {'sequence': ['N210', 'N113', 'N561', 'E18', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0663456936340892 loss --- 510.64794921875 logZ --- 1.0826870203018188
