observation --- [149, 171, 464, 867] info --- {'sequence': ['N574', 'N100', 'N662', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 45.174861907958984 logZ --- 0.9600246548652649
observation --- [770, 661, 386, 867] info --- {'sequence': ['N152', 'N597', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 42.50009536743164 logZ --- 0.955029308795929
observation --- [753, 375, 263, 867] info --- {'sequence': ['N453', 'N288', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 46.519744873046875 logZ --- 0.955029308795929
observation --- [396, 230, 552, 867] info --- {'sequence': ['N678', 'N654', 'N305', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 49.77859878540039 logZ --- 0.955029308795929
observation --- [62, 290, 714, 867] info --- {'sequence': ['N489', 'N512', 'N697', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.91958236694336 logZ --- 0.955029308795929
observation --- [242, 128, 317, 867] info --- {'sequence': ['N622', 'N317', 'N2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 49.01123046875 logZ --- 0.955029308795929
observation --- [224, 732, 372, 867] info --- {'sequence': ['N493', 'N390', 'N607', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 43.95718002319336 logZ --- 0.9500338435173035
observation --- [174, 569, 179, 867] info --- {'sequence': ['N691', 'N434', 'N161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.156009674072266 logZ --- 0.9500338435173035
observation --- [68, 113, 272, 867] info --- {'sequence': ['N180', 'N515', 'N393', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.0224494934082 logZ --- 0.9500338435173035
observation --- [685, 31, 179, 867] info --- {'sequence': ['N33', 'N616', 'N161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.76176071166992 logZ --- 0.9500338435173035
observation --- [68, 757, 88, 867] info --- {'sequence': ['N180', 'N464', 'N168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.2921028137207 logZ --- 0.9500338435173035
observation --- [177, 231, 370, 867] info --- {'sequence': ['N85', 'N211', 'N256', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 41.46132278442383 logZ --- 0.9450317025184631
observation --- [581, 856, 449, 867] info --- {'sequence': ['N123', 'N603', 'N562', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 45.097412109375 logZ --- 0.9450317025184631
observation --- [623, 128, 766, 867] info --- {'sequence': ['N595', 'N317', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.64557647705078 logZ --- 0.9450317025184631
observation --- [204, 159, 179, 867] info --- {'sequence': ['N31', 'N461', 'N161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.892269134521484 logZ --- 0.9450317025184631
