observation --- [640, 574, 778, 867] info --- {'sequence': ['N460', 'N127', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.76947784423828 logZ --- 0.9458135366439819
observation --- [535, 760, 59, 867] info --- {'sequence': ['N136', 'N513', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.362884521484375 logZ --- 0.9458135366439819
observation --- [760, 128, 65, 867] info --- {'sequence': ['N513', 'N317', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.283565521240234 logZ --- 0.9458135366439819
observation --- [139, 306, 154, 867] info --- {'sequence': ['N44', 'N614', 'N488', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0157351096996075 loss --- 140.81524658203125 logZ --- 0.9458135366439819
observation --- [574, 137, 812, 867] info --- {'sequence': ['N127', 'N387', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.82566452026367 logZ --- 0.9419206976890564
observation --- [105, 114, 294, 867] info --- {'sequence': ['N417', 'N355', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.23086166381836 logZ --- 0.9419206976890564
observation --- [176, 202, 681, 867] info --- {'sequence': ['N547', 'N376', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.185150146484375 logZ --- 0.9419206976890564
observation --- [146, 146, 266, 867] info --- {'sequence': ['N503', 'N503', 'N25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1117835799561957 loss --- 157.465576171875 logZ --- 0.9419206976890564
observation --- [760, 732, 266, 867] info --- {'sequence': ['N513', 'N390', 'N25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0094685897605011 loss --- 157.4442901611328 logZ --- 0.9419206976890564
observation --- [239, 697, 357, 867] info --- {'sequence': ['N420', 'N623', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.453834533691406 logZ --- 0.9384484887123108
observation --- [172, 541, 485, 867] info --- {'sequence': ['N409', 'N87', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.227088928222656 logZ --- 0.9384484887123108
observation --- [261, 525, 657, 867] info --- {'sequence': ['N618', 'N525', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.153961181640625 logZ --- 0.9384484887123108
observation --- [128, 830, 415, 867] info --- {'sequence': ['N317', 'N282', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.31280722653859 loss --- 167.6207275390625 logZ --- 0.9384484887123108
observation --- [234, 734, 59, 867] info --- {'sequence': ['N153', 'N448', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.28697967529297 logZ --- 0.9384484887123108
observation --- [97, 361, 147, 867] info --- {'sequence': ['N112', 'N424', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.784969498254015 loss --- 184.99404907226562 logZ --- 0.9349237680435181
observation --- [593, 306, 591, 867] info --- {'sequence': ['N301', 'N614', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.4424057006836 logZ --- 0.9349237680435181
observation --- [856, 307, 77, 867] info --- {'sequence': ['N603', 'N688', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.6584587097168 logZ --- 0.9349237680435181
observation --- [593, 144, 778, 867] info --- {'sequence': ['N301', 'N257', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.13740539550781 logZ --- 0.9349237680435181
