observation --- [834, 705, 493, 712, 867] info --- {'sequence': ['N371', 'N539', 'N557', 'N665', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.884346961975098 logZ --- 0.9565730690956116
observation --- [428, 642, 642, 324, 867] info --- {'sequence': ['N492', 'N27', 'N27', 'N42', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.7449369430542 logZ --- 0.9565730690956116
observation --- [365, 712, 31, 186, 867] info --- {'sequence': ['N184', 'N665', 'N616', 'N561', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.093867301940918 logZ --- 0.9565730690956116
observation --- [317, 712, 767, 202, 867] info --- {'sequence': ['N2', 'N665', 'N259', 'N376', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.95233154296875 logZ --- 0.9565730690956116
observation --- [365, 525, 128, 114, 867] info --- {'sequence': ['N184', 'N525', 'N317', 'N355', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.566070556640625 logZ --- 0.9565730690956116
observation --- [718, 202, 290, 711, 867] info --- {'sequence': ['N388', 'N376', 'N512', 'N522', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.728683471679688 logZ --- 0.9521178603172302
observation --- [370, 137, 661, 171, 867] info --- {'sequence': ['N256', 'N387', 'N597', 'N100', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.008346557617188 logZ --- 0.9521178603172302
observation --- [706, 574, 123, 479, 867] info --- {'sequence': ['N50', 'N127', 'N90', 'N624', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 6.142396926879883 logZ --- 0.9521178603172302
observation --- [28, 642, 559, 711, 867] info --- {'sequence': ['N39', 'N27', 'N129', 'N522', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1157789885962122 loss --- 267.2068786621094 logZ --- 0.9521178603172302
observation --- [57, 601, 231, 105, 867] info --- {'sequence': ['N34', 'N128', 'N211', 'N417', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.709797859191895 logZ --- 0.9521178603172302
