observation --- [714, 230, 30, 101, 167, 423, 63, 868] info --- {'sequence': ['N697', 'N654', 'N29', 'N303', 'E193', 'E86', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 156.4825897216797 logZ --- 1.0499531030654907
observation --- [761, 407, 248, 97, 604, 280, 175, 868] info --- {'sequence': ['N327', 'N255', 'N174', 'N112', 'E4', 'E72', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 172.881103515625 logZ --- 1.0499531030654907
observation --- [645, 535, 306, 601, 208, 457, 14, 868] info --- {'sequence': ['N115', 'N136', 'N614', 'N128', 'E158', 'E130', 'E171', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0708409015150104 loss --- 1021.5243530273438 logZ --- 1.0499531030654907
observation --- [244, 789, 574, 323, 467, 378, 305, 868] info --- {'sequence': ['N601', 'N549', 'N127', 'N89', 'E10', 'E29', 'E7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3526596746166215 loss --- 1108.3885498046875 logZ --- 1.0499531030654907
observation --- [90, 665, 830, 711, 124, 633, 126, 868] info --- {'sequence': ['N450', 'N342', 'N282', 'N522', 'E135', 'E198', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2080403133195852 loss --- 1063.2366943359375 logZ --- 1.0499531030654907
observation --- [537, 137, 407, 326, 763, 11, 748, 868] info --- {'sequence': ['N215', 'N387', 'N255', 'N710', 'E211', 'E25', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0121859049576736 loss --- 1063.256103515625 logZ --- 1.0550354719161987
observation --- [706, 144, 580, 734, 33, 622, 408, 868] info --- {'sequence': ['N50', 'N257', 'N223', 'N448', 'E162', 'E147', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1437765214074367 loss --- 1033.361572265625 logZ --- 1.0550354719161987
observation --- [653, 101, 501, 461, 126, 557, 548, 868] info --- {'sequence': ['N600', 'N303', 'N91', 'N359', 'E112', 'E114', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.222775372902595 loss --- 1061.2996826171875 logZ --- 1.0550354719161987
observation --- [85, 41, 211, 336, 208, 208, 440, 868] info --- {'sequence': ['N218', 'N551', 'N500', 'N360', 'E158', 'E158', 'E30', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1785959233755356 loss --- 1001.4911499023438 logZ --- 1.0550354719161987
observation --- [226, 164, 830, 729, 582, 188, 246, 868] info --- {'sequence': ['N267', 'N292', 'N282', 'N12', 'E178', 'E35', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 183.67742919921875 logZ --- 1.0550354719161987
observation --- [834, 82, 566, 665, 188, 161, 33, 868] info --- {'sequence': ['N371', 'N718', 'N17', 'N342', 'E35', 'E85', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 146.45114135742188 logZ --- 1.0601310729980469
observation --- [263, 314, 830, 171, 508, 584, 167, 868] info --- {'sequence': ['N76', 'N365', 'N282', 'N100', 'E155', 'E182', 'E193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 168.08172607421875 logZ --- 1.0601310729980469
observation --- [449, 559, 661, 461, 582, 529, 345, 868] info --- {'sequence': ['N562', 'N129', 'N597', 'N359', 'E178', 'E129', 'E58', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 176.7663116455078 logZ --- 1.0601310729980469
observation --- [50, 186, 176, 574, 534, 223, 175, 868] info --- {'sequence': ['N435', 'N561', 'N547', 'N127', 'E126', 'E84', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.109658879943822 loss --- 1145.3802490234375 logZ --- 1.0601310729980469
observation --- [761, 361, 767, 711, 405, 606, 781, 868] info --- {'sequence': ['N327', 'N424', 'N259', 'N522', 'E119', 'E110', 'E138', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 160.97323608398438 logZ --- 1.0601310729980469
observation --- [179, 231, 332, 527, 280, 277, 42, 868] info --- {'sequence': ['N161', 'N211', 'N399', 'N471', 'E72', 'E132', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 170.5309600830078 logZ --- 1.0650906562805176
observation --- [370, 767, 373, 541, 99, 858, 280, 868] info --- {'sequence': ['N256', 'N259', 'N538', 'N87', 'E21', 'E142', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0462935295625517 loss --- 1018.5879516601562 logZ --- 1.0650906562805176
observation --- [372, 141, 171, 697, 23, 120, 719, 868] info --- {'sequence': ['N607', 'N13', 'N100', 'N623', 'E136', 'E191', 'E49', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1215218750953682 loss --- 1062.081298828125 logZ --- 1.0650906562805176
observation --- [490, 248, 105, 515, 194, 755, 803, 868] info --- {'sequence': ['N158', 'N174', 'N417', 'N71', 'E36', 'E79', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0487904761630455 loss --- 1130.4652099609375 logZ --- 1.0650906562805176
observation --- [102, 525, 478, 101, 135, 210, 477, 868] info --- {'sequence': ['N395', 'N525', 'N4', 'N303', 'E194', 'E17', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 148.70452880859375 logZ --- 1.0650906562805176
observation --- [44, 230, 734, 376, 331, 687, 817, 868] info --- {'sequence': ['N719', 'N654', 'N448', 'N201', 'E20', 'E120', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.139974983858453 loss --- 1083.7764892578125 logZ --- 1.0700448751449585
observation --- [706, 757, 535, 705, 216, 673, 210, 868] info --- {'sequence': ['N50', 'N464', 'N136', 'N539', 'E74', 'E16', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1480799686171363 loss --- 1086.8851318359375 logZ --- 1.0700448751449585
observation --- [34, 856, 736, 754, 319, 210, 510, 868] info --- {'sequence': ['N57', 'N603', 'N631', 'N194', 'E44', 'E17', 'E190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1134382465096655 loss --- 1043.4461669921875 logZ --- 1.0700448751449585
observation --- [85, 690, 15, 644, 548, 124, 687, 868] info --- {'sequence': ['N218', 'N62', 'N207', 'N644', 'E226', 'E135', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 154.56588745117188 logZ --- 1.0700448751449585
observation --- [102, 144, 324, 137, 647, 506, 472, 868] info --- {'sequence': ['N395', 'N257', 'N42', 'N387', 'E52', 'E127', 'E131', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 163.0771942138672 logZ --- 1.0700448751449585
observation --- [710, 231, 541, 234, 639, 431, 610, 868] info --- {'sequence': ['N404', 'N211', 'N87', 'N153', 'E6', 'E168', 'E24', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 177.12567138671875 logZ --- 1.0749949216842651
observation --- [50, 574, 151, 640, 589, 719, 260, 868] info --- {'sequence': ['N435', 'N127', 'N575', 'N460', 'E121', 'E49', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2153114483079934 loss --- 1027.444091796875 logZ --- 1.0749949216842651
observation --- [50, 535, 308, 697, 402, 404, 774, 868] info --- {'sequence': ['N435', 'N136', 'N193', 'N623', 'E61', 'E122', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1473837065097645 loss --- 1164.359130859375 logZ --- 1.0749949216842651
observation --- [666, 835, 856, 31, 583, 796, 654, 868] info --- {'sequence': ['N466', 'N689', 'N603', 'N616', 'E103', 'E59', 'E145', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 169.6889190673828 logZ --- 1.0749949216842651
observation --- [179, 835, 332, 644, 561, 671, 423, 868] info --- {'sequence': ['N161', 'N689', 'N399', 'N644', 'E216', 'E97', 'E86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2480528857536446 loss --- 1095.2603759765625 logZ --- 1.0749949216842651
observation --- [464, 697, 150, 407, 109, 633, 193, 868] info --- {'sequence': ['N662', 'N623', 'N302', 'N255', 'E40', 'E198', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3820623197048973 loss --- 1152.232177734375 logZ --- 1.0799469947814941
observation --- [28, 290, 151, 818, 328, 632, 633, 868] info --- {'sequence': ['N39', 'N512', 'N575', 'N335', 'E102', 'E143', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 177.85069274902344 logZ --- 1.0799469947814941
observation --- [814, 566, 509, 439, 366, 465, 700, 868] info --- {'sequence': ['N190', 'N17', 'N202', 'N46', 'E170', 'E45', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 158.10205078125 logZ --- 1.0799469947814941
observation --- [263, 705, 239, 231, 208, 405, 506, 868] info --- {'sequence': ['N76', 'N539', 'N420', 'N211', 'E158', 'E119', 'E127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 175.06710815429688 logZ --- 1.0799469947814941
observation --- [85, 754, 736, 642, 561, 636, 126, 868] info --- {'sequence': ['N218', 'N194', 'N631', 'N27', 'E216', 'E82', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 169.4270477294922 logZ --- 1.0799469947814941
observation --- [806, 527, 736, 139, 17, 799, 135, 868] info --- {'sequence': ['N156', 'N471', 'N631', 'N44', 'E219', 'E166', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 172.9614715576172 logZ --- 1.0847892761230469
observation --- [598, 754, 705, 754, 210, 277, 245, 868] info --- {'sequence': ['N312', 'N194', 'N539', 'N194', 'E17', 'E132', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 146.7317657470703 logZ --- 1.0847892761230469
observation --- [395, 101, 239, 478, 11, 73, 315, 868] info --- {'sequence': ['N708', 'N303', 'N420', 'N4', 'E25', 'E94', 'E99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 156.1683807373047 logZ --- 1.0847892761230469
observation --- [317, 289, 478, 690, 716, 567, 808, 868] info --- {'sequence': ['N2', 'N580', 'N4', 'N62', 'E196', 'E3', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3672401513990933 loss --- 1122.8946533203125 logZ --- 1.0847892761230469
observation --- [659, 123, 818, 145, 270, 452, 759, 868] info --- {'sequence': ['N313', 'N90', 'N335', 'N263', 'E213', 'E67', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1732394479845372 loss --- 1111.0067138671875 logZ --- 1.0847892761230469
observation --- [34, 640, 566, 350, 636, 402, 796, 868] info --- {'sequence': ['N57', 'N460', 'N17', 'N705', 'E82', 'E61', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2038903079274432 loss --- 1086.2662353515625 logZ --- 1.0895942449569702
observation --- [90, 835, 137, 211, 649, 592, 491, 868] info --- {'sequence': ['N450', 'N689', 'N387', 'N500', 'E101', 'E41', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4082562953115434 loss --- 1070.04833984375 logZ --- 1.0895942449569702
observation --- [28, 82, 308, 233, 662, 548, 195, 868] info --- {'sequence': ['N39', 'N718', 'N193', 'N43', 'E13', 'E226', 'E81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0564560813613553 loss --- 1093.6768798828125 logZ --- 1.0895942449569702
observation --- [834, 642, 566, 390, 117, 436, 858, 868] info --- {'sequence': ['N371', 'N27', 'N17', 'N330', 'E42', 'E208', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 179.41468811035156 logZ --- 1.0895942449569702
