observation --- [137, 363, 710, 867] info --- {'sequence': ['N387', 'N629', 'N404', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.844547271728516 logZ --- 0.9349538087844849
observation --- [373, 691, 841, 867] info --- {'sequence': ['N538', 'N331', 'N73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.16761779785156 logZ --- 0.9349538087844849
observation --- [172, 133, 370, 867] info --- {'sequence': ['N409', 'N217', 'N256', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.402557373046875 logZ --- 0.9349538087844849
observation --- [186, 538, 645, 867] info --- {'sequence': ['N561', 'N578', 'N115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.24220275878906 logZ --- 0.9349538087844849
observation --- [290, 441, 814, 867] info --- {'sequence': ['N512', 'N530', 'N190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.37904357910156 logZ --- 0.9299471974372864
observation --- [289, 71, 718, 867] info --- {'sequence': ['N580', 'N262', 'N388', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.38671112060547 logZ --- 0.9299471974372864
observation --- [525, 745, 52, 867] info --- {'sequence': ['N525', 'N426', 'N7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.25055694580078 logZ --- 0.9299471974372864
observation --- [830, 831, 265, 867] info --- {'sequence': ['N282', 'N412', 'N398', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.62548065185547 logZ --- 0.9299471974372864
observation --- [711, 382, 766, 867] info --- {'sequence': ['N522', 'N191', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.69732666015625 logZ --- 0.9299471974372864
observation --- [231, 780, 386, 867] info --- {'sequence': ['N211', 'N368', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.030235290527344 logZ --- 0.9249334931373596
observation --- [308, 48, 558, 867] info --- {'sequence': ['N193', 'N281', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.830116271972656 logZ --- 0.9249334931373596
observation --- [289, 641, 54, 867] info --- {'sequence': ['N580', 'N372', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.22364807128906 logZ --- 0.9249334931373596
observation --- [239, 399, 699, 867] info --- {'sequence': ['N420', 'N625', 'N219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.37527847290039 logZ --- 0.9249334931373596
observation --- [248, 641, 44, 867] info --- {'sequence': ['N174', 'N372', 'N719', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.1422119140625 logZ --- 0.9249334931373596
observation --- [141, 411, 523, 867] info --- {'sequence': ['N13', 'N175', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 49.70149230957031 logZ --- 0.9199215769767761
observation --- [856, 96, 226, 867] info --- {'sequence': ['N603', 'N582', 'N267', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.36673355102539 logZ --- 0.9199215769767761
observation --- [289, 800, 129, 867] info --- {'sequence': ['N580', 'N169', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.55656814575195 logZ --- 0.9199215769767761
observation --- [665, 503, 461, 867] info --- {'sequence': ['N342', 'N171', 'N359', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.905452728271484 logZ --- 0.9199215769767761
