observation --- [580, 454, 501, 867] info --- {'sequence': ['N223', 'N520', 'N91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.20950698852539 logZ --- 0.9666381478309631
observation --- [601, 433, 760, 867] info --- {'sequence': ['N128', 'N649', 'N513', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.73529815673828 logZ --- 0.961655855178833
observation --- [172, 57, 239, 867] info --- {'sequence': ['N409', 'N34', 'N420', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.2215576171875 logZ --- 0.961655855178833
observation --- [307, 90, 455, 867] info --- {'sequence': ['N688', 'N450', 'N564', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.43982696533203 logZ --- 0.961655855178833
observation --- [690, 90, 350, 867] info --- {'sequence': ['N62', 'N450', 'N705', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.1837043762207 logZ --- 0.961655855178833
observation --- [128, 387, 642, 867] info --- {'sequence': ['N317', 'N113', 'N27', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.08526611328125 logZ --- 0.961655855178833
observation --- [239, 569, 690, 867] info --- {'sequence': ['N420', 'N434', 'N62', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.007118225097656 logZ --- 0.9566410183906555
observation --- [307, 454, 150, 867] info --- {'sequence': ['N688', 'N520', 'N302', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.27117156982422 logZ --- 0.9566410183906555
observation --- [248, 317, 172, 867] info --- {'sequence': ['N174', 'N2', 'N409', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.0112075805664 logZ --- 0.9566410183906555
observation --- [754, 370, 493, 867] info --- {'sequence': ['N194', 'N256', 'N557', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.40994644165039 logZ --- 0.9566410183906555
observation --- [342, 395, 574, 867] info --- {'sequence': ['N437', 'N708', 'N127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.37273406982422 logZ --- 0.9566410183906555
observation --- [407, 552, 661, 867] info --- {'sequence': ['N255', 'N305', 'N597', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.25558853149414 logZ --- 0.9516040086746216
observation --- [164, 129, 644, 867] info --- {'sequence': ['N292', 'N52', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.886871337890625 logZ --- 0.9516040086746216
observation --- [375, 34, 164, 867] info --- {'sequence': ['N288', 'N57', 'N292', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.2987060546875 logZ --- 0.9516040086746216
observation --- [856, 317, 137, 867] info --- {'sequence': ['N603', 'N2', 'N387', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.37948608398438 logZ --- 0.9516040086746216
observation --- [342, 454, 306, 867] info --- {'sequence': ['N437', 'N520', 'N614', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0933036138553203 loss --- 158.3437042236328 logZ --- 0.9516040086746216
observation --- [830, 34, 307, 867] info --- {'sequence': ['N282', 'N57', 'N688', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.84760665893555 logZ --- 0.9467667937278748
observation --- [248, 54, 375, 867] info --- {'sequence': ['N174', 'N93', 'N288', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.8353157043457 logZ --- 0.9467667937278748
observation --- [574, 645, 736, 867] info --- {'sequence': ['N127', 'N115', 'N631', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.35106658935547 logZ --- 0.9467667937278748
observation --- [82, 113, 407, 867] info --- {'sequence': ['N718', 'N515', 'N255', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.73454284667969 logZ --- 0.9467667937278748
observation --- [640, 706, 754, 867] info --- {'sequence': ['N460', 'N50', 'N194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.930233001708984 logZ --- 0.9467667937278748
observation --- [30, 699, 97, 867] info --- {'sequence': ['N29', 'N219', 'N112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.07304382324219 logZ --- 0.9418774843215942
observation --- [289, 562, 247, 867] info --- {'sequence': ['N580', 'N68', 'N524', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.20782470703125 logZ --- 0.9418774843215942
observation --- [307, 699, 150, 867] info --- {'sequence': ['N688', 'N219', 'N302', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.45899200439453 logZ --- 0.9418774843215942
observation --- [290, 562, 580, 867] info --- {'sequence': ['N512', 'N68', 'N223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.11452102661133 logZ --- 0.9418774843215942
observation --- [308, 263, 239, 867] info --- {'sequence': ['N193', 'N76', 'N420', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.28116989135742 logZ --- 0.9418774843215942
observation --- [455, 706, 760, 867] info --- {'sequence': ['N564', 'N50', 'N513', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.710880279541016 logZ --- 0.9369499683380127
observation --- [640, 674, 848, 867] info --- {'sequence': ['N460', 'N32', 'N581', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.41160202026367 logZ --- 0.9369499683380127
observation --- [478, 28, 478, 867] info --- {'sequence': ['N4', 'N39', 'N4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.632911682128906 logZ --- 0.9369499683380127
observation --- [493, 653, 139, 867] info --- {'sequence': ['N557', 'N600', 'N44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.19407653808594 logZ --- 0.9369499683380127
observation --- [82, 562, 576, 867] info --- {'sequence': ['N718', 'N68', 'N455', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.86262893676758 logZ --- 0.9369499683380127
observation --- [31, 263, 734, 867] info --- {'sequence': ['N616', 'N76', 'N448', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.411216735839844 logZ --- 0.9319895505905151
observation --- [289, 244, 848, 867] info --- {'sequence': ['N580', 'N601', 'N581', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.039642333984375 logZ --- 0.9319895505905151
observation --- [261, 653, 361, 867] info --- {'sequence': ['N618', 'N600', 'N424', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.43681716918945 logZ --- 0.9319895505905151
observation --- [736, 558, 541, 867] info --- {'sequence': ['N631', 'N3', 'N87', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 46.74250793457031 logZ --- 0.9319895505905151
observation --- [101, 220, 574, 867] info --- {'sequence': ['N303', 'N164', 'N127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.10149002075195 logZ --- 0.9319895505905151
observation --- [375, 454, 789, 867] info --- {'sequence': ['N288', 'N520', 'N549', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.358150482177734 logZ --- 0.9270142316818237
observation --- [230, 537, 734, 867] info --- {'sequence': ['N654', 'N215', 'N448', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.29287338256836 logZ --- 0.9270142316818237
observation --- [535, 552, 342, 867] info --- {'sequence': ['N136', 'N305', 'N437', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.3215560913086 logZ --- 0.9270142316818237
observation --- [150, 134, 336, 867] info --- {'sequence': ['N302', 'N693', 'N360', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.431861877441406 logZ --- 0.9270142316818237
observation --- [151, 220, 151, 867] info --- {'sequence': ['N575', 'N164', 'N575', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.62039566040039 logZ --- 0.9270142316818237
observation --- [352, 428, 139, 867] info --- {'sequence': ['N534', 'N492', 'N44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.14432907104492 logZ --- 0.9220192432403564
observation --- [509, 113, 856, 867] info --- {'sequence': ['N202', 'N515', 'N603', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.95162582397461 logZ --- 0.9220192432403564
observation --- [202, 272, 566, 867] info --- {'sequence': ['N376', 'N393', 'N17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.373069763183594 logZ --- 0.9220192432403564
observation --- [640, 395, 324, 867] info --- {'sequence': ['N460', 'N708', 'N42', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.50162887573242 logZ --- 0.9220192432403564
observation --- [128, 428, 46, 867] info --- {'sequence': ['N317', 'N492', 'N470', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.78410720825195 logZ --- 0.9220192432403564
observation --- [211, 449, 574, 867] info --- {'sequence': ['N500', 'N562', 'N127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.64128112792969 logZ --- 0.9170028567314148
observation --- [46, 265, 314, 867] info --- {'sequence': ['N470', 'N398', 'N365', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.173065185546875 logZ --- 0.9170028567314148
observation --- [234, 85, 661, 867] info --- {'sequence': ['N153', 'N218', 'N597', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.118675231933594 logZ --- 0.9170028567314148
observation --- [186, 569, 114, 867] info --- {'sequence': ['N561', 'N434', 'N355', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.53857421875 logZ --- 0.9170028567314148
observation --- [642, 34, 46, 867] info --- {'sequence': ['N27', 'N57', 'N470', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.52804183959961 logZ --- 0.9170028567314148
observation --- [314, 28, 15, 867] info --- {'sequence': ['N365', 'N39', 'N207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.756874084472656 logZ --- 0.9119690656661987
observation --- [856, 263, 525, 867] info --- {'sequence': ['N603', 'N76', 'N525', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.79804992675781 logZ --- 0.9119690656661987
observation --- [123, 537, 248, 867] info --- {'sequence': ['N90', 'N215', 'N174', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.423858642578125 logZ --- 0.9119690656661987
observation --- [308, 272, 439, 867] info --- {'sequence': ['N193', 'N393', 'N46', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.318336486816406 logZ --- 0.9119690656661987
observation --- [381, 50, 407, 867] info --- {'sequence': ['N1', 'N435', 'N255', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0924275370904264 loss --- 172.1265411376953 logZ --- 0.9119690656661987
observation --- [172, 90, 151, 867] info --- {'sequence': ['N409', 'N450', 'N575', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.20687484741211 logZ --- 0.9071348309516907
observation --- [642, 674, 336, 867] info --- {'sequence': ['N27', 'N32', 'N360', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.84630584716797 logZ --- 0.9071348309516907
observation --- [835, 222, 642, 867] info --- {'sequence': ['N689', 'N385', 'N27', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.331268310546875 logZ --- 0.9071348309516907
observation --- [137, 57, 186, 867] info --- {'sequence': ['N387', 'N34', 'N561', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.504642486572266 logZ --- 0.9071348309516907
