observation --- [316, 88, 138, 867] info --- {'sequence': ['N110', 'N168', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.85978698730469 logZ --- 0.9354904294013977
observation --- [215, 85, 839, 867] info --- {'sequence': ['N176', 'N218', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.56315612792969 logZ --- 0.9354904294013977
observation --- [740, 449, 554, 867] info --- {'sequence': ['N150', 'N562', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.92930603027344 logZ --- 0.9354904294013977
observation --- [489, 714, 839, 867] info --- {'sequence': ['N429', 'N697', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.03297424316406 logZ --- 0.9304471015930176
observation --- [214, 406, 844, 867] info --- {'sequence': ['N592', 'N367', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0037476832502936 loss --- 97.0120620727539 logZ --- 0.9304471015930176
observation --- [424, 50, 138, 867] info --- {'sequence': ['N18', 'N435', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.31576538085938 logZ --- 0.9304471015930176
observation --- [334, 449, 839, 867] info --- {'sequence': ['N163', 'N562', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.47843933105469 logZ --- 0.9304471015930176
observation --- [67, 814, 554, 867] info --- {'sequence': ['N157', 'N190', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.85240173339844 logZ --- 0.9304471015930176
observation --- [769, 244, 206, 867] info --- {'sequence': ['N51', 'N601', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.78446960449219 logZ --- 0.925538182258606
observation --- [334, 718, 658, 867] info --- {'sequence': ['N163', 'N388', 'N671', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.2317886352539 logZ --- 0.925538182258606
observation --- [219, 428, 844, 867] info --- {'sequence': ['N611', 'N492', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.9245376586914 logZ --- 0.925538182258606
observation --- [740, 9, 554, 867] info --- {'sequence': ['N150', 'N238', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 97.39826202392578 logZ --- 0.925538182258606
observation --- [67, 617, 466, 867] info --- {'sequence': ['N157', 'N346', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 101.94900512695312 logZ --- 0.925538182258606
observation --- [214, 718, 410, 867] info --- {'sequence': ['N592', 'N388', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 104.76139068603516 logZ --- 0.9205906391143799
observation --- [422, 841, 410, 867] info --- {'sequence': ['N579', 'N73', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 104.78553771972656 logZ --- 0.9205906391143799
observation --- [704, 323, 466, 867] info --- {'sequence': ['N485', 'N89', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.30219268798828 logZ --- 0.9205906391143799
observation --- [778, 288, 530, 867] info --- {'sequence': ['N687', 'N700', 'N254', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.38006591796875 logZ --- 0.9205906391143799
observation --- [356, 454, 268, 867] info --- {'sequence': ['N48', 'N520', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.20252227783203 logZ --- 0.9205906391143799
observation --- [169, 810, 844, 867] info --- {'sequence': ['N279', 'N109', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.62295532226562 logZ --- 0.9156123995780945
observation --- [356, 588, 138, 867] info --- {'sequence': ['N48', 'N271', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 98.74871063232422 logZ --- 0.9156123995780945
observation --- [169, 766, 844, 867] info --- {'sequence': ['N279', 'N310', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 97.56441497802734 logZ --- 0.9156123995780945
observation --- [635, 317, 466, 867] info --- {'sequence': ['N641', 'N2', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.02386474609375 logZ --- 0.9156123995780945
observation --- [540, 386, 138, 867] info --- {'sequence': ['N695', 'N514', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.18523406982422 logZ --- 0.9156123995780945
observation --- [424, 714, 676, 867] info --- {'sequence': ['N18', 'N697', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 98.09602355957031 logZ --- 0.910610556602478
observation --- [812, 85, 466, 867] info --- {'sequence': ['N415', 'N218', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.6357650756836 logZ --- 0.910610556602478
observation --- [321, 387, 554, 867] info --- {'sequence': ['N231', 'N113', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 97.83323669433594 logZ --- 0.910610556602478
observation --- [826, 814, 551, 867] info --- {'sequence': ['N606', 'N190', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.24195861816406 logZ --- 0.910610556602478
observation --- [429, 28, 138, 867] info --- {'sequence': ['N63', 'N39', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.75454711914062 logZ --- 0.910610556602478
observation --- [191, 834, 844, 867] info --- {'sequence': ['N474', 'N371', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.60064697265625 logZ --- 0.9055841565132141
observation --- [191, 674, 466, 867] info --- {'sequence': ['N474', 'N32', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.88045501708984 logZ --- 0.9055841565132141
observation --- [438, 263, 668, 867] info --- {'sequence': ['N130', 'N76', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.72702026367188 logZ --- 0.9055841565132141
observation --- [843, 113, 206, 867] info --- {'sequence': ['N320', 'N515', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.88134002685547 logZ --- 0.9055841565132141
observation --- [21, 449, 668, 867] info --- {'sequence': ['N411', 'N562', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.5238265991211 logZ --- 0.9055841565132141
