observation --- [481, 89, 660, 491, 776, 868] info --- {'sequence': ['N246', 'N473', 'N553', 'E39', 'E105', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3017701602791207 loss --- 471.80328369140625 logZ --- 1.0684380531311035
observation --- [854, 575, 627, 175, 664, 868] info --- {'sequence': ['N60', 'N571', 'N198', 'E184', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0459527368855184 loss --- 469.8707580566406 logZ --- 1.0684380531311035
observation --- [657, 215, 743, 170, 420, 868] info --- {'sequence': ['N484', 'N176', 'N400', 'E212', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9928374290466309 logZ --- 1.0684380531311035
observation --- [853, 854, 773, 467, 470, 868] info --- {'sequence': ['N298', 'N60', 'N102', 'E10', 'E205', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1350497532719863 loss --- 517.1430053710938 logZ --- 1.0684380531311035
observation --- [215, 334, 22, 781, 813, 868] info --- {'sequence': ['N176', 'N163', 'N433', 'E138', 'E203', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4172125855518918 loss --- 484.5528869628906 logZ --- 1.0733797550201416
observation --- [444, 294, 213, 759, 646, 868] info --- {'sequence': ['N10', 'N315', 'N479', 'E38', 'E106', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2132734509886374 loss --- 489.8989562988281 logZ --- 1.0733797550201416
observation --- [704, 602, 62, 612, 443, 868] info --- {'sequence': ['N485', 'N19', 'N489', 'E157', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.279819693602759 loss --- 508.8851623535156 logZ --- 1.0733797550201416
observation --- [695, 77, 614, 582, 246, 868] info --- {'sequence': ['N196', 'N477', 'N328', 'E178', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.467319965362549 logZ --- 1.0733797550201416
observation --- [147, 24, 347, 610, 414, 868] info --- {'sequence': ['N535', 'N160', 'N447', 'E24', 'E188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4991427374429454 loss --- 507.2508544921875 logZ --- 1.0733797550201416
observation --- [444, 575, 743, 210, 680, 868] info --- {'sequence': ['N10', 'N571', 'N400', 'E17', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.659561276435852 logZ --- 1.0783559083938599
