observation --- [576, 190, 481, 275, 161, 868] info --- {'sequence': ['N455', 'N78', 'N246', 'E207', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.4658308029174805 logZ --- 1.038129210472107
observation --- [128, 399, 602, 331, 799, 868] info --- {'sequence': ['N317', 'N625', 'N19', 'E20', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.491793632507324 logZ --- 1.038129210472107
observation --- [373, 503, 575, 232, 620, 868] info --- {'sequence': ['N538', 'N171', 'N571', 'E215', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.19979840769135 loss --- 495.4426574707031 logZ --- 1.038129210472107
observation --- [818, 197, 519, 345, 275, 868] info --- {'sequence': ['N335', 'N647', 'N456', 'E58', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0583300890230531 loss --- 524.8766479492188 logZ --- 1.038129210472107
observation --- [324, 448, 740, 227, 819, 868] info --- {'sequence': ['N42', 'N545', 'N150', 'E175', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.3756279945373535 logZ --- 1.0427577495574951
observation --- [247, 794, 321, 805, 709, 868] info --- {'sequence': ['N524', 'N236', 'N231', 'E150', 'E1', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4072072587588669 loss --- 574.8677978515625 logZ --- 1.0427577495574951
observation --- [478, 448, 575, 662, 118, 868] info --- {'sequence': ['N4', 'N545', 'N571', 'E13', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.068936347961426 logZ --- 1.0427577495574951
observation --- [211, 780, 214, 63, 166, 868] info --- {'sequence': ['N500', 'N368', 'N592', 'E76', 'E14', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.068860103053612 loss --- 520.95654296875 logZ --- 1.0427577495574951
observation --- [231, 684, 843, 803, 643, 868] info --- {'sequence': ['N211', 'N655', 'N320', 'E91', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.983808517456055 logZ --- 1.0427577495574951
observation --- [114, 445, 154, 440, 584, 868] info --- {'sequence': ['N355', 'N350', 'N488', 'E30', 'E182', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.083700056015968 loss --- 488.1051330566406 logZ --- 1.047300934791565
observation --- [690, 119, 2, 118, 528, 868] info --- {'sequence': ['N62', 'N229', 'N80', 'E224', 'E26', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2857289696967122 loss --- 534.11328125 logZ --- 1.047300934791565
observation --- [754, 603, 249, 548, 662, 868] info --- {'sequence': ['N194', 'N224', 'N321', 'E226', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.703685283660889 logZ --- 1.047300934791565
observation --- [186, 190, 434, 328, 721, 868] info --- {'sequence': ['N561', 'N78', 'N377', 'E102', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.384479522705078 logZ --- 1.047300934791565
observation --- [455, 717, 626, 582, 858, 868] info --- {'sequence': ['N564', 'N204', 'N216', 'E178', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.151501655578613 logZ --- 1.047300934791565
observation --- [712, 749, 575, 693, 47, 868] info --- {'sequence': ['N665', 'N241', 'N571', 'E95', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.9447550773620605 logZ --- 1.0517722368240356
observation --- [754, 794, 214, 646, 811, 868] info --- {'sequence': ['N194', 'N236', 'N592', 'E106', 'E90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.113855602900721 loss --- 523.8423461914062 logZ --- 1.0517722368240356
observation --- [46, 229, 626, 246, 671, 868] info --- {'sequence': ['N470', 'N431', 'N216', 'E185', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.738044738769531 logZ --- 1.0517722368240356
observation --- [760, 291, 626, 518, 764, 868] info --- {'sequence': ['N513', 'N64', 'N216', 'E232', 'E69', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.859008312225342 logZ --- 1.0517722368240356
observation --- [754, 514, 200, 170, 827, 868] info --- {'sequence': ['N194', 'N35', 'N621', 'E212', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.079638481140137 logZ --- 1.0517722368240356
observation --- [580, 863, 570, 420, 557, 868] info --- {'sequence': ['N223', 'N293', 'N516', 'E12', 'E114', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4658040624562392 loss --- 576.3863525390625 logZ --- 1.05605947971344
observation --- [137, 648, 136, 622, 27, 868] info --- {'sequence': ['N387', 'N111', 'N519', 'E147', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.857914447784424 logZ --- 1.05605947971344
observation --- [105, 603, 67, 189, 716, 868] info --- {'sequence': ['N417', 'N224', 'N157', 'E66', 'E196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3783904479031202 loss --- 528.0307006835938 logZ --- 1.05605947971344
observation --- [705, 344, 295, 491, 400, 868] info --- {'sequence': ['N539', 'N389', 'N679', 'E39', 'E63', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.232593124911858 loss --- 517.65380859375 logZ --- 1.05605947971344
observation --- [856, 542, 626, 6, 405, 868] info --- {'sequence': ['N603', 'N587', 'N216', 'E23', 'E119', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.000310897409494 loss --- 508.44671630859375 logZ --- 1.05605947971344
observation --- [332, 717, 489, 73, 759, 868] info --- {'sequence': ['N399', 'N204', 'N429', 'E94', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2276508369285875 loss --- 499.0325622558594 logZ --- 1.0605049133300781
observation --- [852, 209, 570, 87, 436, 868] info --- {'sequence': ['N210', 'N588', 'N516', 'E71', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.41910457611084 logZ --- 1.0605049133300781
