observation --- [324, 82, 297, 631, 117, 868] info --- {'sequence': ['N42', 'N718', 'N713', 'E187', 'E42', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3359916650549075 loss --- 566.35986328125 logZ --- 1.0348812341690063
observation --- [248, 308, 316, 673, 547, 868] info --- {'sequence': ['N174', 'N193', 'N110', 'E16', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.142943421555839 loss --- 489.8695068359375 logZ --- 1.0348812341690063
observation --- [734, 493, 77, 634, 748, 868] info --- {'sequence': ['N448', 'N557', 'N477', 'E172', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1720590273802198 loss --- 568.9374389648438 logZ --- 1.0348812341690063
observation --- [137, 733, 481, 403, 529, 868] info --- {'sequence': ['N387', 'N445', 'N246', 'E116', 'E129', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.707028388977051 logZ --- 1.0348812341690063
observation --- [239, 30, 602, 403, 210, 868] info --- {'sequence': ['N420', 'N29', 'N19', 'E116', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0013729598293672 loss --- 524.1307373046875 logZ --- 1.039849877357483
observation --- [314, 852, 67, 813, 567, 868] info --- {'sequence': ['N365', 'N210', 'N157', 'E203', 'E3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3170931690280547 loss --- 555.280029296875 logZ --- 1.039849877357483
observation --- [248, 146, 861, 687, 42, 868] info --- {'sequence': ['N174', 'N503', 'N558', 'E120', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1171553488480994 loss --- 557.5188598632812 logZ --- 1.039849877357483
observation --- [234, 493, 422, 858, 547, 868] info --- {'sequence': ['N153', 'N557', 'N579', 'E142', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0385499409971641 loss --- 535.503173828125 logZ --- 1.039849877357483
observation --- [478, 164, 482, 599, 673, 868] info --- {'sequence': ['N4', 'N292', 'N499', 'E174', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.66193962097168 logZ --- 1.039849877357483
observation --- [501, 234, 704, 842, 331, 868] info --- {'sequence': ['N91', 'N153', 'N485', 'E68', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1638019418924048 loss --- 540.417236328125 logZ --- 1.0448306798934937
