observation --- [325, 734, 645, 615, 557, 631, 868] info --- {'sequence': ['N40', 'N448', 'N115', 'E141', 'E114', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 92.87980651855469 logZ --- 1.0340479612350464
observation --- [857, 46, 28, 649, 725, 232, 868] info --- {'sequence': ['N306', 'N470', 'N39', 'E101', 'E179', 'E215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.117182061367445 loss --- 838.0822143554688 logZ --- 1.0340479612350464
observation --- [78, 479, 706, 335, 277, 751, 868] info --- {'sequence': ['N234', 'N624', 'N50', 'E96', 'E132', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.091935080489773 loss --- 861.108154296875 logZ --- 1.0340479612350464
observation --- [442, 324, 88, 862, 157, 667, 868] info --- {'sequence': ['N47', 'N42', 'N168', 'E18', 'E5', 'E134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.081673216043702 loss --- 862.9688720703125 logZ --- 1.0389628410339355
observation --- [511, 852, 659, 817, 680, 430, 868] info --- {'sequence': ['N314', 'N210', 'N313', 'E88', 'E104', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0377688714231512 loss --- 823.6588134765625 logZ --- 1.0389628410339355
observation --- [581, 830, 113, 693, 751, 161, 868] info --- {'sequence': ['N123', 'N282', 'N515', 'E95', 'E50', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 88.70510864257812 logZ --- 1.0389628410339355
observation --- [614, 830, 706, 27, 378, 252, 868] info --- {'sequence': ['N328', 'N282', 'N50', 'E73', 'E29', 'E233', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 86.18207550048828 logZ --- 1.0389628410339355
observation --- [838, 101, 9, 632, 579, 748, 868] info --- {'sequence': ['N643', 'N303', 'N238', 'E143', 'E173', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 79.0618667602539 logZ --- 1.0389628410339355
observation --- [69, 541, 395, 14, 819, 643, 868] info --- {'sequence': ['N382', 'N87', 'N708', 'E171', 'E137', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 100.930419921875 logZ --- 1.04389488697052
observation --- [36, 145, 372, 436, 12, 118, 868] info --- {'sequence': ['N151', 'N263', 'N607', 'E208', 'E218', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0919257375361278 loss --- 797.338134765625 logZ --- 1.04389488697052
observation --- [339, 711, 90, 285, 832, 405, 868] info --- {'sequence': ['N334', 'N522', 'N450', 'E57', 'E149', 'E119', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 88.38179779052734 logZ --- 1.04389488697052
observation --- [828, 665, 263, 436, 534, 166, 868] info --- {'sequence': ['N264', 'N342', 'N76', 'E208', 'E126', 'E14', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 71.26177978515625 logZ --- 1.04389488697052
observation --- [497, 361, 710, 225, 550, 725, 868] info --- {'sequence': ['N559', 'N424', 'N404', 'E78', 'E108', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0071959198201876 loss --- 784.444091796875 logZ --- 1.04389488697052
observation --- [224, 464, 718, 615, 270, 245, 868] info --- {'sequence': ['N493', 'N662', 'N388', 'E141', 'E213', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.08378096808256 loss --- 844.9015502929688 logZ --- 1.0488355159759521
observation --- [533, 455, 699, 443, 243, 299, 868] info --- {'sequence': ['N6', 'N564', 'N219', 'E47', 'E15', 'E225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.129251319059387 loss --- 843.2321166992188 logZ --- 1.0488355159759521
observation --- [300, 830, 598, 73, 847, 423, 868] info --- {'sequence': ['N593', 'N282', 'N312', 'E94', 'E221', 'E86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 90.23612213134766 logZ --- 1.0488355159759521
observation --- [362, 228, 34, 680, 557, 687, 868] info --- {'sequence': ['N366', 'N200', 'N57', 'E104', 'E114', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.245346229541895 loss --- 849.7838745117188 logZ --- 1.0488355159759521
observation --- [823, 830, 9, 680, 460, 260, 868] info --- {'sequence': ['N373', 'N282', 'N238', 'E104', 'E192', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 78.2051010131836 logZ --- 1.0488355159759521
observation --- [237, 390, 387, 402, 366, 643, 868] info --- {'sequence': ['N65', 'N330', 'N113', 'E61', 'E170', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.060339116495028 loss --- 848.6854248046875 logZ --- 1.0538395643234253
observation --- [377, 659, 54, 583, 245, 260, 868] info --- {'sequence': ['N667', 'N313', 'N93', 'E103', 'E230', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 101.79743957519531 logZ --- 1.0538395643234253
observation --- [701, 231, 81, 693, 12, 23, 868] info --- {'sequence': ['N101', 'N211', 'N276', 'E95', 'E218', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 85.1874008178711 logZ --- 1.0538395643234253
observation --- [242, 230, 834, 285, 487, 42, 868] info --- {'sequence': ['N622', 'N654', 'N371', 'E57', 'E181', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 92.1927490234375 logZ --- 1.0538395643234253
observation --- [533, 308, 88, 631, 610, 748, 868] info --- {'sequence': ['N6', 'N193', 'N168', 'E187', 'E24', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1471889828138904 loss --- 856.2169189453125 logZ --- 1.0538395643234253
observation --- [111, 705, 552, 842, 408, 170, 868] info --- {'sequence': ['N221', 'N539', 'N305', 'E68', 'E152', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 102.19071197509766 logZ --- 1.0588446855545044
observation --- [362, 332, 57, 33, 842, 109, 868] info --- {'sequence': ['N366', 'N399', 'N34', 'E162', 'E68', 'E40', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 84.86456298828125 logZ --- 1.0588446855545044
observation --- [224, 326, 523, 662, 477, 480, 868] info --- {'sequence': ['N493', 'N710', 'N188', 'E13', 'E169', 'E176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 74.13993072509766 logZ --- 1.0588446855545044
observation --- [701, 428, 85, 285, 510, 474, 868] info --- {'sequence': ['N101', 'N492', 'N218', 'E57', 'E190', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 79.90318298339844 logZ --- 1.0588446855545044
observation --- [241, 501, 102, 462, 700, 436, 868] info --- {'sequence': ['N702', 'N91', 'N395', 'E31', 'E60', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 84.00611877441406 logZ --- 1.0588446855545044
observation --- [37, 146, 710, 496, 842, 719, 868] info --- {'sequence': ['N628', 'N503', 'N404', 'E65', 'E68', 'E49', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 75.5233383178711 logZ --- 1.06367027759552
observation --- [829, 239, 372, 796, 600, 63, 868] info --- {'sequence': ['N116', 'N420', 'N607', 'E59', 'E53', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 83.59022521972656 logZ --- 1.06367027759552
