observation --- [21, 429, 816, 867] info --- {'sequence': ['N411', 'N63', 'N536', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.6208724975586 logZ --- 0.9617077708244324
observation --- [602, 122, 743, 867] info --- {'sequence': ['N19', 'N245', 'N400', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 68.1007308959961 logZ --- 0.9617077708244324
observation --- [586, 512, 526, 867] info --- {'sequence': ['N682', 'N96', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.15049743652344 logZ --- 0.9571459889411926
observation --- [215, 861, 284, 867] info --- {'sequence': ['N176', 'N558', 'N92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.76497650146484 logZ --- 0.9571459889411926
observation --- [795, 136, 264, 867] info --- {'sequence': ['N408', 'N519', 'N554', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.84288787841797 logZ --- 0.9571459889411926
observation --- [575, 769, 377, 867] info --- {'sequence': ['N571', 'N51', 'N667', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.58057403564453 logZ --- 0.9571459889411926
observation --- [334, 434, 426, 867] info --- {'sequence': ['N163', 'N377', 'N504', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.2564926147461 logZ --- 0.9571459889411926
observation --- [200, 21, 417, 867] info --- {'sequence': ['N621', 'N411', 'N86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.00448608398438 logZ --- 0.9524314403533936
observation --- [686, 266, 614, 867] info --- {'sequence': ['N126', 'N25', 'N328', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1257758370577609 loss --- 135.70558166503906 logZ --- 0.9524314403533936
observation --- [444, 294, 348, 867] info --- {'sequence': ['N10', 'N315', 'N268', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.47836303710938 logZ --- 0.9524314403533936
observation --- [635, 147, 127, 867] info --- {'sequence': ['N641', 'N535', 'N286', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.3575420928913555 loss --- 133.91015625 logZ --- 0.9524314403533936
observation --- [84, 64, 546, 867] info --- {'sequence': ['N410', 'N285', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 68.23916625976562 logZ --- 0.9524314403533936
observation --- [626, 778, 820, 867] info --- {'sequence': ['N216', 'N687', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.37755584716797 logZ --- 0.948139488697052
observation --- [681, 519, 125, 867] info --- {'sequence': ['N353', 'N456', 'N197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.13277435302734 logZ --- 0.948139488697052
observation --- [591, 154, 213, 867] info --- {'sequence': ['N137', 'N488', 'N479', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.0151138305664 logZ --- 0.948139488697052
observation --- [792, 657, 341, 867] info --- {'sequence': ['N277', 'N484', 'N684', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.47630310058594 logZ --- 0.948139488697052
observation --- [249, 826, 546, 867] info --- {'sequence': ['N321', 'N606', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.7548828125 logZ --- 0.948139488697052
observation --- [591, 635, 669, 867] info --- {'sequence': ['N137', 'N641', 'N232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.83434295654297 logZ --- 0.9436547756195068
observation --- [55, 297, 532, 867] info --- {'sequence': ['N81', 'N713', 'N208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.45126342773438 logZ --- 0.9436547756195068
observation --- [2, 415, 250, 867] info --- {'sequence': ['N80', 'N386', 'N9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.3168919134118928 loss --- 133.01341247558594 logZ --- 0.9436547756195068
observation --- [626, 422, 127, 867] info --- {'sequence': ['N216', 'N579', 'N286', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.26715087890625 logZ --- 0.9436547756195068
