observation --- [556, 303, 288, 867] info --- {'sequence': ['N717', 'N354', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.79059600830078 logZ --- 0.9096435904502869
observation --- [795, 273, 841, 867] info --- {'sequence': ['N408', 'N270', 'N73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.57169342041016 logZ --- 0.9096435904502869
observation --- [147, 614, 57, 867] info --- {'sequence': ['N535', 'N328', 'N34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0713522605401153 loss --- 124.21231079101562 logZ --- 0.9096435904502869
observation --- [424, 264, 653, 867] info --- {'sequence': ['N18', 'N554', 'N600', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.66837310791016 logZ --- 0.9051593542098999
observation --- [294, 473, 317, 867] info --- {'sequence': ['N315', 'N343', 'N2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.14385986328125 logZ --- 0.9051593542098999
observation --- [55, 688, 129, 867] info --- {'sequence': ['N81', 'N125', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.84589385986328 logZ --- 0.9051593542098999
observation --- [635, 743, 834, 867] info --- {'sequence': ['N641', 'N400', 'N371', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.57703399658203 logZ --- 0.9051593542098999
observation --- [294, 341, 102, 867] info --- {'sequence': ['N315', 'N684', 'N395', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.90866088867188 logZ --- 0.9051593542098999
observation --- [59, 417, 807, 867] info --- {'sequence': ['N23', 'N86', 'N99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0265506438838117 loss --- 142.4080810546875 logZ --- 0.9005681276321411
observation --- [586, 473, 766, 867] info --- {'sequence': ['N682', 'N343', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.5601806640625 logZ --- 0.9005681276321411
observation --- [861, 526, 659, 867] info --- {'sequence': ['N558', 'N528', 'N313', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.23976135253906 logZ --- 0.9005681276321411
observation --- [419, 310, 523, 867] info --- {'sequence': ['N225', 'N508', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.19599914550781 logZ --- 0.9005681276321411
observation --- [854, 348, 598, 867] info --- {'sequence': ['N60', 'N268', 'N312', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.1651382446289 logZ --- 0.9005681276321411
observation --- [153, 708, 179, 867] info --- {'sequence': ['N117', 'N287', 'N161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.10940551757812 logZ --- 0.8960752487182617
observation --- [792, 688, 490, 867] info --- {'sequence': ['N277', 'N125', 'N158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.87311553955078 logZ --- 0.8960752487182617
observation --- [540, 347, 226, 867] info --- {'sequence': ['N695', 'N447', 'N267', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.60673522949219 logZ --- 0.8960752487182617
observation --- [556, 614, 370, 867] info --- {'sequence': ['N717', 'N328', 'N256', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.77326202392578 logZ --- 0.8960752487182617
observation --- [512, 337, 265, 867] info --- {'sequence': ['N96', 'N589', 'N398', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.99497985839844 logZ --- 0.8960752487182617
observation --- [266, 816, 428, 867] info --- {'sequence': ['N25', 'N536', 'N492', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.21160125732422 logZ --- 0.8914644718170166
observation --- [586, 303, 372, 867] info --- {'sequence': ['N682', 'N354', 'N607', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.34141540527344 logZ --- 0.8914644718170166
observation --- [769, 627, 317, 867] info --- {'sequence': ['N51', 'N198', 'N2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.88780212402344 logZ --- 0.8914644718170166
observation --- [153, 310, 370, 867] info --- {'sequence': ['N117', 'N508', 'N256', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.0764389038086 logZ --- 0.8914644718170166
observation --- [219, 303, 85, 867] info --- {'sequence': ['N611', 'N354', 'N218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.86146545410156 logZ --- 0.8914644718170166
observation --- [481, 273, 617, 867] info --- {'sequence': ['N246', 'N270', 'N346', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.89926147460938 logZ --- 0.8867673873901367
observation --- [769, 743, 372, 867] info --- {'sequence': ['N51', 'N400', 'N607', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.90650939941406 logZ --- 0.8867673873901367
observation --- [434, 303, 90, 867] info --- {'sequence': ['N377', 'N354', 'N450', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.37155151367188 logZ --- 0.8867673873901367
observation --- [2, 627, 834, 867] info --- {'sequence': ['N80', 'N198', 'N371', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.96492767333984 logZ --- 0.8867673873901367
