observation --- [82, 221, 39, 867] info --- {'sequence': ['N718', 'N637', 'N416', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.79019546508789 logZ --- 0.917025089263916
observation --- [332, 412, 482, 867] info --- {'sequence': ['N399', 'N226', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.52518081665039 logZ --- 0.917025089263916
observation --- [144, 271, 591, 867] info --- {'sequence': ['N257', 'N261', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.720176696777344 logZ --- 0.917025089263916
observation --- [574, 160, 854, 867] info --- {'sequence': ['N127', 'N427', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.56779861450195 logZ --- 0.9121169447898865
observation --- [141, 327, 2, 867] info --- {'sequence': ['N13', 'N38', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.58060836791992 logZ --- 0.9121169447898865
observation --- [151, 190, 191, 867] info --- {'sequence': ['N575', 'N78', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.79157257080078 logZ --- 0.9121169447898865
observation --- [151, 573, 294, 867] info --- {'sequence': ['N575', 'N67', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.36684799194336 logZ --- 0.9121169447898865
observation --- [478, 722, 191, 867] info --- {'sequence': ['N4', 'N430', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.960853576660156 logZ --- 0.9121169447898865
observation --- [290, 399, 635, 867] info --- {'sequence': ['N512', 'N625', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.62934875488281 logZ --- 0.9071857929229736
observation --- [308, 448, 316, 867] info --- {'sequence': ['N193', 'N545', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.14991760253906 logZ --- 0.9071857929229736
observation --- [261, 514, 2, 867] info --- {'sequence': ['N618', 'N35', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.674705505371094 logZ --- 0.9071857929229736
observation --- [407, 255, 812, 867] info --- {'sequence': ['N255', 'N543', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.91604614257812 logZ --- 0.9071857929229736
observation --- [306, 45, 153, 867] info --- {'sequence': ['N614', 'N352', 'N117', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.16196060180664 logZ --- 0.9071857929229736
observation --- [852, 399, 635, 867] info --- {'sequence': ['N210', 'N625', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.13729476928711 logZ --- 0.9022276401519775
observation --- [642, 801, 512, 867] info --- {'sequence': ['N27', 'N337', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.20674133300781 logZ --- 0.9022276401519775
observation --- [478, 236, 2, 867] info --- {'sequence': ['N4', 'N370', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.692195892333984 logZ --- 0.9022276401519775
observation --- [835, 713, 24, 867] info --- {'sequence': ['N689', 'N632', 'N160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.13885498046875 logZ --- 0.9022276401519775
observation --- [101, 96, 65, 867] info --- {'sequence': ['N303', 'N582', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.39962387084961 logZ --- 0.9022276401519775
observation --- [290, 772, 575, 867] info --- {'sequence': ['N512', 'N26', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.06108856201172 logZ --- 0.8972420692443848
observation --- [234, 772, 519, 867] info --- {'sequence': ['N153', 'N26', 'N456', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.2382698059082 logZ --- 0.8972420692443848
observation --- [574, 218, 695, 867] info --- {'sequence': ['N127', 'N120', 'N196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.034934997558594 logZ --- 0.8972420692443848
observation --- [150, 48, 740, 867] info --- {'sequence': ['N302', 'N281', 'N150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.38097381591797 logZ --- 0.8972420692443848
observation --- [566, 798, 424, 867] info --- {'sequence': ['N17', 'N362', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.46952819824219 logZ --- 0.8972420692443848
observation --- [164, 132, 136, 867] info --- {'sequence': ['N292', 'N664', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.326595306396484 logZ --- 0.892239511013031
observation --- [856, 450, 19, 867] info --- {'sequence': ['N603', 'N635', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.17760467529297 logZ --- 0.892239511013031
observation --- [324, 800, 740, 867] info --- {'sequence': ['N42', 'N169', 'N150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.60508346557617 logZ --- 0.892239511013031
observation --- [705, 450, 334, 867] info --- {'sequence': ['N539', 'N635', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.42761993408203 logZ --- 0.892239511013031
