observation --- [482, 526, 386, 126, 632, 868] info --- {'sequence': ['N499', 'N528', 'N514', 'E112', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.5100910663604736 logZ --- 1.0350888967514038
observation --- [575, 337, 9, 315, 225, 868] info --- {'sequence': ['N571', 'N589', 'N238', 'E99', 'E78', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0896053251314688 loss --- 444.1546936035156 logZ --- 1.0350888967514038
observation --- [485, 708, 90, 564, 391, 868] info --- {'sequence': ['N79', 'N287', 'N450', 'E204', 'E220', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.8123507499694824 logZ --- 1.0350888967514038
observation --- [778, 605, 113, 836, 808, 868] info --- {'sequence': ['N687', 'N340', 'N515', 'E128', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.224325851581675 loss --- 493.4981689453125 logZ --- 1.0350888967514038
observation --- [19, 213, 617, 161, 335, 868] info --- {'sequence': ['N639', 'N479', 'N346', 'E85', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.9594916105270386 logZ --- 1.0350888967514038
observation --- [481, 303, 9, 803, 846, 868] info --- {'sequence': ['N246', 'N354', 'N238', 'E91', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1567571890285515 loss --- 439.3932800292969 logZ --- 1.039994239807129
observation --- [485, 127, 834, 791, 620, 868] info --- {'sequence': ['N79', 'N286', 'N371', 'E177', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2218475985265598 loss --- 507.6158752441406 logZ --- 1.039994239807129
observation --- [219, 264, 113, 613, 223, 868] info --- {'sequence': ['N611', 'N554', 'N515', 'E115', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.5501656532287598 logZ --- 1.039994239807129
observation --- [19, 605, 222, 528, 223, 868] info --- {'sequence': ['N639', 'N340', 'N385', 'E26', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.3351216316223145 logZ --- 1.039994239807129
observation --- [626, 660, 406, 620, 270, 868] info --- {'sequence': ['N216', 'N553', 'N367', 'E229', 'E213', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3154344136177525 loss --- 498.5279541015625 logZ --- 1.039994239807129
