observation --- [108, 143, 704, 470, 779, 868] info --- {'sequence': ['N16', 'N650', 'N485', 'E205', 'E51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5539581775665283 logZ --- 1.0094949007034302
observation --- [840, 143, 812, 474, 673, 868] info --- {'sequence': ['N214', 'N650', 'N415', 'E70', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.3322048485279083 logZ --- 1.0094949007034302
observation --- [532, 143, 334, 550, 663, 868] info --- {'sequence': ['N208', 'N650', 'N163', 'E108', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.03129864111542702 logZ --- 1.0094949007034302
observation --- [463, 178, 686, 391, 522, 868] info --- {'sequence': ['N295', 'N444', 'N126', 'E220', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0452769510447979 logZ --- 1.0094949007034302
observation --- [362, 143, 19, 817, 126, 868] info --- {'sequence': ['N366', 'N650', 'N639', 'E88', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.09810977429151535 logZ --- 1.0094949007034302
observation --- [437, 178, 704, 677, 781, 868] info --- {'sequence': ['N308', 'N444', 'N485', 'E189', 'E138', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.12267523258924484 logZ --- 1.0112948417663574
observation --- [7, 143, 422, 443, 183, 868] info --- {'sequence': ['N265', 'N650', 'N579', 'E47', 'E151', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0009003845625557005 logZ --- 1.0112948417663574
observation --- [61, 143, 792, 40, 167, 868] info --- {'sequence': ['N222', 'N650', 'N277', 'E123', 'E193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.521526575088501 logZ --- 1.0112948417663574
observation --- [61, 178, 295, 391, 462, 868] info --- {'sequence': ['N222', 'N444', 'N679', 'E220', 'E31', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.002516736276447773 logZ --- 1.0112948417663574
observation --- [532, 143, 695, 548, 126, 868] info --- {'sequence': ['N208', 'N650', 'N196', 'E226', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.10454840958118439 logZ --- 1.0112948417663574
observation --- [823, 143, 295, 312, 158, 868] info --- {'sequence': ['N373', 'N650', 'N679', 'E153', 'E34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.006203761789947748 logZ --- 1.0128268003463745
observation --- [590, 178, 19, 534, 784, 868] info --- {'sequence': ['N41', 'N444', 'N639', 'E126', 'E87', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.23947027325630188 logZ --- 1.0128268003463745
observation --- [371, 178, 438, 269, 506, 868] info --- {'sequence': ['N634', 'N444', 'N130', 'E186', 'E127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.056158825755119324 logZ --- 1.0128268003463745
observation --- [66, 143, 444, 620, 480, 868] info --- {'sequence': ['N666', 'N650', 'N10', 'E229', 'E176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.18484613299369812 logZ --- 1.0128268003463745
