observation --- [710, 25, 853, 867] info --- {'sequence': ['N404', 'N677', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.67027282714844 logZ --- 0.9256297945976257
observation --- [569, 476, 586, 867] info --- {'sequence': ['N434', 'N585', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.31566619873047 logZ --- 0.9256297945976257
observation --- [433, 374, 39, 867] info --- {'sequence': ['N649', 'N142', 'N416', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 134.80767822265625 logZ --- 0.9256297945976257
observation --- [28, 476, 200, 867] info --- {'sequence': ['N39', 'N585', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.9727325439453 logZ --- 0.9256297945976257
observation --- [718, 476, 59, 867] info --- {'sequence': ['N388', 'N585', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.66320037841797 logZ --- 0.9207659959793091
observation --- [806, 25, 586, 867] info --- {'sequence': ['N156', 'N677', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.76993560791016 logZ --- 0.9207659959793091
observation --- [552, 476, 795, 867] info --- {'sequence': ['N305', 'N585', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.59388732910156 logZ --- 0.9207659959793091
observation --- [515, 374, 597, 867] info --- {'sequence': ['N71', 'N142', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 132.06991577148438 logZ --- 0.9207659959793091
observation --- [28, 25, 854, 867] info --- {'sequence': ['N39', 'N677', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.3884048461914 logZ --- 0.9207659959793091
observation --- [342, 476, 266, 867] info --- {'sequence': ['N437', 'N585', 'N25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.4161376953125 logZ --- 0.9158769249916077
observation --- [765, 383, 64, 867] info --- {'sequence': ['N449', 'N103', 'N285', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.1485366821289 logZ --- 0.9158769249916077
observation --- [9, 25, 147, 867] info --- {'sequence': ['N238', 'N677', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.066318482777985 loss --- 73.29471588134766 logZ --- 0.9158769249916077
observation --- [645, 476, 77, 867] info --- {'sequence': ['N115', 'N585', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.97367858886719 logZ --- 0.9158769249916077
observation --- [428, 25, 853, 867] info --- {'sequence': ['N492', 'N677', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.79991149902344 logZ --- 0.9158769249916077
observation --- [552, 25, 19, 867] info --- {'sequence': ['N305', 'N677', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.7154769897461 logZ --- 0.9110981225967407
observation --- [372, 476, 556, 867] info --- {'sequence': ['N607', 'N585', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.3776092529297 logZ --- 0.9110981225967407
observation --- [674, 25, 21, 867] info --- {'sequence': ['N32', 'N677', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.0328140258789 logZ --- 0.9110981225967407
observation --- [617, 383, 422, 867] info --- {'sequence': ['N346', 'N103', 'N579', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.59040069580078 logZ --- 0.9110981225967407
observation --- [825, 25, 626, 867] info --- {'sequence': ['N237', 'N677', 'N216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.58535766601562 logZ --- 0.9110981225967407
observation --- [272, 476, 482, 867] info --- {'sequence': ['N393', 'N585', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.28683471679688 logZ --- 0.9062822461128235
observation --- [552, 374, 334, 867] info --- {'sequence': ['N305', 'N142', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 132.31015014648438 logZ --- 0.9062822461128235
observation --- [562, 25, 556, 867] info --- {'sequence': ['N68', 'N677', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.90243530273438 logZ --- 0.9062822461128235
observation --- [645, 374, 853, 867] info --- {'sequence': ['N115', 'N142', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 139.03744506835938 logZ --- 0.9062822461128235
observation --- [464, 374, 602, 867] info --- {'sequence': ['N662', 'N142', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 134.30630493164062 logZ --- 0.9062822461128235
observation --- [810, 374, 215, 867] info --- {'sequence': ['N109', 'N142', 'N176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.09322357177734 logZ --- 0.9014217257499695
